"","male_min","male_1","male_99","male_max","female_min","female_1","female_99","female_max"
"ha1q37_10i_seg_la_pcent",2.59999990463257,4.09999990463257,28.3999996185303,43.5,1.39999997615814,8.96699987411499,45.9649992370605,55
"ha1q37_10ii_seg_la_mass",0.00999999977648258,0.100000001490116,1.20000004768372,2.20000004768372,0,0.100000001490116,1.70000004768372,2.79999995231628
"ha1q37_10iii_seg_la_free_mass",1,1.39999997615814,3.59999990463257,4.40000009536743,0.899999976158142,1,2.29999995231628,3.40000009536743
"ha1q37_10iv_seg_la_muscle",1,1.29999995231628,3.40000009536743,4.09999990463257,0.899999976158142,0.899999976158142,2.09999990463257,3.20000004768372
"ha1q37_11i_seg_tr_pcent",3,3,34.5039999389648,41.2999992370605,3,3,43.9649992370605,48.4000015258789
"ha1q37_11ii_seg_tr_mass",0.600000023841858,0.699999988079071,15.6000003814697,21.5,0.5,0.567000015974045,17.8329993629456,21.5
"ha1q37_11iii_seg_tr_free_mass",14.8999996185303,18.5,34.6519996643066,38.9000015258789,12.3999996185303,14.8999996185303,25.2330002593994,30.8999996185303
"ha1q37_11iv_seg_tr_muscle",14.1999998092651,17.7000007629395,33.1519996643066,37.4000015258789,11.3999996185303,14.3000001907349,24.1330005073547,29.7000007629395
"ha1q37_2_weight",27.1000003814697,34.8480003356934,87.0999984741211,103.099998474121,27.6000003814697,32.6679999923706,74.26400100708,89.3000030517578
"ha1q37_3_bmi",12.3999996185303,14.4479998016357,31.056000213623,35.9000015258789,13.1000003814697,14.5670002555847,31,38.7999992370605
"ha1q37_5i_tbf_pcent",1.79999995231628,3.79999995231628,32.208000793457,37.5999984741211,9,11.7340002536774,43.5,49.7000007629395
"ha1q37_5ii_tbf_mass",0.899999976158142,1.5,25.26,35.4000015258789,3,4.16699984073639,32.5999984741211,42.2999992370605
"ha1q37_5iii_tbf_free_mass",24,31.347999420166,63.4039996337891,72.5,22.5,25.7669997406006,44.3659994888306,56.9000015258789
"ha1q37_5iv_tbf_water",16.2999992370605,21.5,44.7999992370605,53.0999984741211,16.5,18.1000003814697,32.5999984741211,41.7000007629395
"ha1q37_6i_imp_whole_body",297,513.48,901.08,1049,104,595.06,1029.33,1150
"ha1q37_6ii_imp_rleg",158,207.96,400.52,608,210,234.67,453,541
"ha1q37_6iii_imp_lleg",163,209.96,401.52,439,214,243.67,459,540
"ha1q37_6iv_imp_rarm",240,259.48,480.52,648,249,323,568.33,680
"ha1q37_6v_imp_larm",244,272,491,574,186,324,573.33,615
"ha1q37_7i_seg_rl_pcent",1.10000002384186,3.54799995422363,30.8600003814697,39.0999984741211,0,22.3009998703003,45.1329992294311,50.5
"ha1q37_7ii_seg_rl_mass",0.100000001490116,0.300000011920929,4.05199995040893,5.90000009536743,0.5,1.5,5.73299993515014,7.90000009536743
"ha1q37_7iii_seg_rl_free_mass",3.5,4.74799999237061,11.2520000076294,14.6999998092651,4,4.30000019073486,7.63299987316131,9.60000038146973
"ha1q37_7iv_seg_rl_muscle",3.20000004768372,4.5,10.6520000839233,13.8999996185303,1.89999997615814,4.09999990463257,7.19999980926514,9.19999980926514
"ha1q37_8i_seg_ll_pcent",1.39999997615814,4.3480001449585,29.7519999694824,39.2000007629395,7.59999990463257,22.368000125885,45.03299949646,51.0999984741211
"ha1q37_8ii_seg_ll_mass",0.100000001490116,0.348000009059906,4,5.69999980926514,0.600000023841858,1.5,5.59999990463257,7.80000019073486
"ha1q37_8iii_seg_ll_free_mass",3.40000009536743,4.80000019073486,11,13.8000001907349,3.70000004768372,4.19999980926514,7.43300006389617,9.60000038146973
"ha1q37_8iv_seg_ll_muscle",3.20000004768372,4.59999990463257,10.3999996185303,13,3.5,4,7.03299996852874,9.10000038146973
"ha1q37_9i_seg_ra_pcent",1.89999997615814,2.79999995231628,27.5520001983643,38.9000015258789,2.5,7.63399987220764,45.6329992294311,54.7000007629395
"ha1q37_9ii_seg_ra_mass",0,0.100000001490116,1.20000004768372,2,0,0.100000001490116,1.60000002384186,2.5
"ha1q37_9iii_seg_ra_free_mass",1.10000002384186,1.5,3.70000004768372,4.5,0.899999976158142,1.10000002384186,2.20000004768372,3.40000009536743
"ha1q37_9iv_seg_ra_muscle",1,1.39999997615814,3.45200004577637,4.19999980926514,0.800000011920929,1,2.09999990463257,3.20000004768372
"ha1dv_age",18.0123203285421,18.3592607802875,66.8925941136208,75.6851471594798,18.0369609856263,18.3637508555784,60.9270636550308,70.0342231348392
"calf_circ",206,242.24,383.02,520,178,234.67,369.32,468
"head_circ",492.5,500.5,571.52,590.5,480,492.34,561.32,607
"cheste_circ",639,707.48,1037.6,1111.5,588,628.835,1008.155,1096.5
"waist_circ",520,585.72,1042.3,1151,507.5,538.345,937.98,1073
"hip_circ",681,717.94,1048.08,1210,684.5,725.51,1067.655,1246
"arm_circ",156,185.5,331.52,394,151,185.5,323,385
"tri_fold",2.20000004768372,3.23200005531311,22.0346667989095,26.0666669209798,2.86666663487752,4.48933329105377,24.2440005111694,33.0666669209798
"bi_fold",1.86666663487752,2.20000004768372,12.3013330459595,19,1.20000004768372,2.13333336512248,14.2439998722076,24.0666669209798
"sub_fold",3.93333331743876,4.86666679382324,28.2773333994547,35.5333340962728,4,4.85566680431366,21.3993338012695,32.6666666666667
"sup_fold",2.13333336512248,2.66666658719381,20.3013335164388,28.1333338419596,2.13333336512248,3,22.910666325887,34.5999997456869
"calf2_fold",2.46666669845581,3.06666668256124,22.5680002593994,29.2000001271566,3.9333332379659,5,24.5333334604899,34.2000007629395
"height",1405,1486,1794.04,1866,1301,1385,1644.33,1757
"dom_grip",0,8.5,48.5,54.25,1,4.1675,27.8325,37.25
"nondom_grip",3.5,8.37,46.76,52.25,1,3.5,27.25,34.5
